gene_id,symbol,name
ENSG00000184678,H2BC21,H2B clustered histone 21
ENSG00000184697,CLDN6,claudin 6
ENSG00000184698,OR51M1,olfactory receptor family 51 subfamily M member 1
ENSG00000184702,SEPTIN5,septin 5
ENSG00000184708,EIF4ENIF1,eukaryotic translation initiation factor 4E nuclear import factor 1
ENSG00000184709,LRRC26,leucine rich repeat containing 26
ENSG00000184716,SERINC4,serine incorporator 4
ENSG00000184719,RNLS,"renalase, FAD dependent amine oxidase"
ENSG00000184730,APOBR,apolipoprotein B receptor
ENSG00000184731,FAM110C,family with sequence similarity 110 member C
ENSG00000184743,ATL3,atlastin GTPase 3
ENSG00000184752,NDUFA12,NADH:ubiquinone oxidoreductase subunit A12
ENSG00000184774,MGAT4EP,"MGAT4 family member E, pseudogene"
ENSG00000184786,DYNLT2,dynein light chain Tctex-type 2
ENSG00000184787,UBE2G2,ubiquitin conjugating enzyme E2 G2
ENSG00000184788,SATL1,spermidine/spermine N1-acetyl transferase like 1
ENSG00000184792,OSBP2,oxysterol binding protein 2
ENSG00000184809,B3GALT5-AS1,B3GALT5 antisense RNA 1
ENSG00000184828,ZBTB7C,zinc finger and BTB domain containing 7C
ENSG00000184831,APOO,apolipoprotein O
ENSG00000184838,PRR16,proline rich 16
ENSG00000184840,TMED9,transmembrane p24 trafficking protein 9
ENSG00000184844,CYCSP45,CYCS pseudogene 45
ENSG00000184845,DRD1,dopamine receptor D1
ENSG00000184857,TMEM186,transmembrane protein 186
ENSG00000184860,SDR42E1,"short chain dehydrogenase/reductase family 42E, member 1"
ENSG00000184863,RBM33,RNA binding motif protein 33
ENSG00000184867,ARMCX2,armadillo repeat containing X-linked 2
ENSG00000184887,BTBD6,BTB domain containing 6
ENSG00000184897,H1-10,H1.10 linker histone
ENSG00000184898,RBM43,RNA binding motif protein 43
ENSG00000184900,SUMO3,small ubiquitin like modifier 3
ENSG00000184903,IMMP2L,inner mitochondrial membrane peptidase subunit 2
ENSG00000184905,TCEAL2,transcription elongation factor A like 2
ENSG00000184908,CLCNKB,chloride voltage-gated channel Kb
ENSG00000184916,JAG2,jagged canonical Notch ligand 2
ENSG00000184922,FMNL1,formin like 1
ENSG00000184923,NUTM2A,NUT family member 2A
ENSG00000184924,PTRHD1,peptidyl-tRNA hydrolase domain containing 1
ENSG00000184925,LCN12,lipocalin 12
ENSG00000184937,WT1,WT1 transcription factor
ENSG00000184939,ZFP90,ZFP90 zinc finger protein
